Behavioral Policy,Training Steps,IQL Score,BC Score,IQL Score Std Dev,BC Score Std Dev
Expert,100,5.36,6.08,1.9806564568344505,3.4715990551905613
Mixed Suboptimal,100,6.68,3.88,3.102973484328289,2.380849521587713
Mixed Random,100,5.61,2.58,2.4406055714833474,2.1549941995281565
Epsilon-greedy,100,4.86,4.16,1.9738287666360523,1.2158216243438928
Boltzmann Softmax: Tau 0.5,100,0.22,0.0,0.4638007234913623,0.0
Boltzmann Softmax: Tau 1.5,100,1.82,2.12,2.245390339735561,2.067096729446614
Random,100,2.59,1.46,3.330148478504958,1.899239613927403
Expert,200,7.76,8.36,2.8693204770467866,3.460202306224305
Mixed Suboptimal,200,7.38,7.540000000000001,2.866201512648947,3.549397444950653
Mixed Random,200,6.220000000000001,6.390000000000001,2.222011101082381,3.537560364620417
Epsilon-greedy,200,4.24,9.72,1.535650423183031,2.894746198815287
Boltzmann Softmax: Tau 0.5,200,0.74,0.6,1.5600569790164007,1.2649110640673518
Boltzmann Softmax: Tau 1.5,200,1.22,3.12,1.395866915018923,1.7453430099044205
Random,200,1.97,0.4599999999999999,1.7262998323324694,0.7705697747626609
Expert,500,5.84,8.9,1.7952715672009072,2.726719640887196
Mixed Suboptimal,500,8.440000000000001,12.1,3.631100231181851,3.667878587594379
Mixed Random,500,5.83,12.05,1.706881496895565,3.229465039978672
Epsilon-greedy,500,4.6,9.26,1.8666666666666667,4.688804633260902
Boltzmann Softmax: Tau 0.5,500,0.52,0.0,1.096256255525038,0.0
Boltzmann Softmax: Tau 1.5,500,1.9,0.5,2.1207964960782486,0.6666666666666666
Random,500,3.17,2.2,1.84393902044268,2.274496281230931
Expert,1000,8.0,8.040000000000001,2.127204738618265,3.118974190338869
Mixed Suboptimal,1000,8.42,13.7,3.01801995428202,2.171532996653644
Mixed Random,1000,6.15,10.51,2.106735230951752,2.9647746775916866
Epsilon-greedy,1000,6.48,10.26,2.6578186544608347,2.0673117272868597
Boltzmann Softmax: Tau 0.5,1000,1.14,0.0,2.4033310217279684,0.0
Boltzmann Softmax: Tau 1.5,1000,2.06,2.7,2.0369912452765555,2.2
Random,1000,1.97,3.72,1.771408730047611,3.085737801203754
Expert,2000,7.94,9.4,2.4694128856876083,2.2124646889837587
Mixed Suboptimal,2000,12.16,12.34,2.832038920008772,4.001444183736111
Mixed Random,2000,5.9,10.56,1.7524585904126555,2.151072084127148
Epsilon-greedy,2000,6.98,10.98,4.803887314803848,1.1380294860464344
Boltzmann Softmax: Tau 0.5,2000,1.4,0.2,2.327612033346145,0.4216370213557839
Boltzmann Softmax: Tau 1.5,2000,2.8600000000000003,0.74,1.6460052652811696,1.110755498648455
Random,2000,2.5700000000000003,2.8600000000000003,1.8336666363691447,2.150038759340553
Expert,5000,7.76,11.42,6.199032182526559,0.941806774237688
Mixed Suboptimal,5000,10.68,14.080000000000002,3.523508352638192,4.600676278790133
Mixed Random,5000,6.19,10.75,2.663936102003116,2.784181507493121
Epsilon-greedy,5000,5.6,12.08,3.32532371022398,3.908054361045773
Boltzmann Softmax: Tau 0.5,5000,2.1,0.58,2.254871270038368,1.2227473619317732
Boltzmann Softmax: Tau 1.5,5000,2.68,1.64,1.967965672690682,2.225708376624794
Random,5000,3.16,2.93,1.8745073426844123,1.979365779457877
Expert,10000,7.2,12.42,6.309912836165014,1.8471599822430107
Mixed Suboptimal,10000,7.12,16.22,3.3115286835874187,2.9230121450312176
Mixed Random,10000,5.57,11.85,1.714675220300075,2.647955185924918
Epsilon-greedy,10000,5.84,15.0,3.2589023373590758,1.4727148022916348
Boltzmann Softmax: Tau 0.5,10000,2.2,0.2799999999999999,2.0580465387244176,0.5902918298980975
Boltzmann Softmax: Tau 1.5,10000,2.56,1.82,2.006212573205763,2.2493455838433443
Random,10000,2.8,1.7,1.755625877635159,1.4406788523316207
Expert,25000,7.139999999999999,14.86,6.444222218390672,2.214271889357763
Mixed Suboptimal,25000,7.0,13.78,4.045848352186336,4.543322328184274
Mixed Random,25000,4.5600000000000005,11.5,2.649192749163832,2.9981475762358474
Epsilon-greedy,25000,7.12,12.22,4.0394719126803365,4.089227039157618
Boltzmann Softmax: Tau 0.5,25000,0.4599999999999999,0.26,0.6022181221672648,0.5481281277625191
Boltzmann Softmax: Tau 1.5,25000,2.36,3.24,2.0586943003326703,2.0359000193744503
Random,25000,1.7399999999999998,2.67,2.101956760312215,1.9522351861961256
Expert,50000,7.24,12.28,6.304204945907137,3.0946728421595715
Mixed Suboptimal,50000,7.040000000000001,13.2,4.078452865705056,4.809250345832382
Mixed Random,50000,4.54,12.63,2.9432408441489573,2.570797541620109
Epsilon-greedy,50000,7.140000000000001,11.78,4.063167893815531,3.459222777188862
Boltzmann Softmax: Tau 0.5,50000,2.28,0.26,1.976978615070088,0.5481281277625191
Boltzmann Softmax: Tau 1.5,50000,2.2,2.36,2.1260291625469296,2.0586943003326703
Random,50000,2.82,2.98,1.8437883705988485,3.236184310092503
